MachineName,Bucket,MappedTo,SuggestedAction
W01AC03,matches_id,W01AC03,Add to AssetAliases (canonical ID used as name)
Ttk 2,matches_name,W01PK18 [fuzzy],Add to AssetAliases
W01AC02 เครื่องทำลมแห้ง (Air - Compressure)#1,matches_name,W01AC02 [fuzzy],Add to AssetAliases
W01AC01 ปั๊มลมสกรู  (Air - Compressure)#1,matches_name,W01AC01 [fuzzy],Add to AssetAliases
W01AC03 ปั๊มลมสกรู  (Air - Compressure)#2,matches_name,W01AC03 [fuzzy],Add to AssetAliases
W01AC04 เครื่องทำลมแห้ง (Air - Compressure)#2,matches_name,W01AC04 [fuzzy],Add to AssetAliases
W01AI01 Chiller Wet Food #1,matches_name,W01AI01 [fuzzy],Add to AssetAliases
W01AI02 Chiller Wet Food #2,matches_name,W01AI02 [fuzzy],Add to AssetAliases
W02AI03 เครื่องปรับอากาศ ห้องQC,matches_name,W02AI03 [fuzzy],Add to AssetAliases
W01AI04 เครื่องปรับอากาศ ห้องสแน็ค,matches_name,W01AI04 [fuzzy],Add to AssetAliases
W01AI05 เครื่องปรับอากาศ ห้องมิกซ์สแน็ค#1,matches_name,W01AI05 [fuzzy],Add to AssetAliases
W01AI06 เครื่องปรับอากาศ ห้องมิกซ์สแน็ค#2,matches_name,W01AI06 [fuzzy],Add to AssetAliases
W01AI07 เครื่องปรับอากาศ ห้องประชุม,matches_name,W01AI07 [fuzzy],Add to AssetAliases
W01AI08  ห้องเย็น#1,matches_name,W01AI08 [fuzzy],Add to AssetAliases
W01AI09  ห้องเย็น#2,matches_name,W01AI09 [fuzzy],Add to AssetAliases
W02AI10 คอยเย็นห้อง Filling,matches_name,W02AI10 [fuzzy],Add to AssetAliases
W02AI11 คอยเย็นห้อง Mixing,matches_name,W02AI11 [fuzzy],Add to AssetAliases
W02AI12 คอยเย็นห้อง บรรจุภัณฑ์,matches_name,W02AI12 [fuzzy],Add to AssetAliases
W02AI13 คอยเย็นห้อง ขูดปลา,matches_name,W02AI13 [fuzzy],Add to AssetAliases
W02AI14 คอยเย็นห้อง เตรียมวัติถุดิบ,matches_name,W02AI14 [fuzzy],Add to AssetAliases
W02AI15 คอยเย็นห้อง ตัดสแน็ค,matches_name,W02AI15 [fuzzy],Add to AssetAliases
W02AI16 คอยเย็นห้อง บริหาร1,matches_name,W02AI16 [fuzzy],Add to AssetAliases
W02AI17 คอยเย็นห้อง บริหาร2,matches_name,W02AI17 [fuzzy],Add to AssetAliases
W02AI18 คอยเย็นห้อง ประชุม,matches_name,W02AI18 [fuzzy],Add to AssetAliases
W02AI19 คอยเย็นห้อง ออฟฟิต,matches_name,W02AI19 [fuzzy],Add to AssetAliases
