Title,AssetID,ClassAbbr,ClassName,Type1,Manufacturer,Country,Size,Location,Floor,Department,Criticality,Status,PMFrequency,PMMix,Notes
ปั๊มลมสกรู  (Air - Compressure)#1,W01AC01,AC,AIR COMPRESSOR,Utilities,ซีเทีย,THAILAND,25 hp,Wet Food,1,Maintenance,Major (B),Active,Weekly,"7W, 1S",
เครื่องทำลมแห้ง (Air - Compressure)#1,W01AC02,AC,AIR COMPRESSOR,Utilities,ซีเทีย,THAILAND,0.5 hp,Wet Food,1,Maintenance,Major (B),Active,Monthly,7M,
ปั๊มลมสกรู  (Air - Compressure)#2,W01AC03,AC,AIR COMPRESSOR,Utilities,ซีเทีย,THAILAND,50 hp,Wet Food,1,Maintenance,Major (B),Active,Weekly,"7W, 1S",
เครื่องทำลมแห้ง (Air - Compressure)#2,W01AC04,AC,AIR COMPRESSOR,Utilities,ซีเทีย,THAILAND,0.5 hp,Wet Food,1,Maintenance,Major (B),Active,Monthly,7M,
Chiller Wet Food #1,W01AI01,AI,AIR CONDITIONER,Utilities,,THAILAND,130000BTU,Wet Food,1,Maintenance,Major (B),Active,Monthly,8M,
Chiller Wet Food #2,W01AI02,AI,AIR CONDITIONER,Utilities,,THAILAND,130000BTU,Wet Food,1,Maintenance,Major (B),Active,Monthly,8M,
เครื่องปรับอากาศ ห้องสแน็ค,W01AI04,AI,AIR CONDITIONER,Utilities,,,24000BTU,Wet Food,2,Maintenance,Major (B),Active,Monthly,8M,
เครื่องปรับอากาศ ห้องมิกซ์สแน็ค#1,W01AI05,AI,AIR CONDITIONER,Utilities,,,24000BTU,Wet Food,1,Maintenance,Major (B),Active,Monthly,8M,
เครื่องปรับอากาศ ห้องมิกซ์สแน็ค#2,W01AI06,AI,AIR CONDITIONER,Utilities,,,24000BTU,Wet Food,1,Maintenance,Major (B),Active,Monthly,8M,
เครื่องปรับอากาศ ห้องประชุม,W01AI07,AI,AIR CONDITIONER,Utilities,,,24000BTU,Wet Food,1,Maintenance,Major (B),Active,Monthly,8M,
ห้องเย็น#1,W01AI08,AI,AIR CONDITIONER,Utilities,เค.เอส รีฟริเจอเรชั่น จำกัด,THAILAND,15 hp,Wet Food,1,Maintenance,Major (B),Active,Weekly,7W,
ห้องเย็น#2,W01AI09,AI,AIR CONDITIONER,Utilities,เค.เอส รีฟริเจอเรชั่น จำกัด,THAILAND,7.5 hp,Wet Food,1,Maintenance,Major (B),Active,Weekly,7W,
สายพานผ่าท้องปลา (Butohering Converyer),W01BC01,BC,BELT CONVEYER,Machine,K.M.,THAILAND,2 hp,Wet Food,1,Production,Major (B),Active,Weekly,"7W, 1S",
สายพานขูดปลา (Cleering Conveyer),W01BC02,BC,BELT CONVEYER,Machine,K.M.,THAILAND,4 hp,Wet Food,1,Production,Major (B),Active,Weekly,"8W, 1S",
สายพานชั่งน้ำหนักเนื้อปลา (Weighting Conveyer),W01BC03,BC,BELT CONVEYER,Machine,K.M.,THAILAND,2 hp,Wet Food,1,Production,Major (B),Active,Weekly,"7W, 1S",
รางเติมน้ำ3กลับ (Filling Conveyer),W01BC04,BC,BELT CONVEYER,Machine,K.M.,THAILAND,2 hp,Wet Food,1,Production,Major (B),Active,Weekly,"8W, 1S",
สายพานรับซอง (Pouch Conveyer),W01BC05,BC,BELT CONVEYER,Machine,K.M.,THAILAND,2 hp,Wet Food,1,Production,Major (B),Active,,,
สายพานพากระป๋องเปล่า,W01BC06,BC,BELT CONVEYER,Machine,K.M.,THAILAND,2hp,Wet Food,,Production,Major (B),Active,Weekly,"7W, 2M",
สายพานตัดสแน็ค,W01BC07,BC,BELT CONVEYER,Machine,SIAMMAC,THAILAND,1hp,Wet Food,,Production,Major (B),Active,Weekly,7W,
สายพานติดฉลาก,W01BC08,BC,BELT CONVEYER,Machine,มามีเทค2018จำกัด,THAILAND,7.2hp,Wet Food,,Production,Major (B),Active,Weekly,"7W, 1S",
สายพานลำเลียงกล่อง,W01BC09,BC,,Machine,เดต้าแพค,สวีเดน,2 hp,Wet Food,,Production,Major (B),Active,Weekly,"7W, 1S",
สายพาน PACK กระป๋อง,W01BC10,BC,,Machine,มามีเทค2018จำกัด,THAILAND,1 hp,Wet Food,,Production,Major (B),Active,Weekly,8W,
รถโฟคลิฟไฟฟ้า # 1,W01CA01,CA,,Machine,,THAILAND,,Wet Food,1,Production,Major (B),Active,Weekly,"7W, 1S",
รถโฟคลิฟไฟฟ้า # 2,W01CA02,CA,,Machine,,THAILAND,,Wet Food,1,Production,Major (B),Active,Weekly,8W,
รถโฟคลิฟน้ำมัน,W01CA03,CA,,Machine,,,,Wet Food,1,Production,Major (B),Active,,,
รางสเปร์คูลลิ่งปลา (Side Spray Cooling),W01CL01,CL,COOLING,Utilities,K.M.,THAILAND,2 hp,Wet Food,1,Maintenance,Major (B),Active,Monthly,6M,
