Title,AssetID,Sheet
W01AC01 - ปั๊มลมสกรู Air Compressure,W01AC01,ปั๊มลมสกรู Air Compressure
W01AC02 - เครื่องทำลมแห้ง,W01AC02,เครื่องทำลมแห้ง
W01AC03 - ปั๊มลมสกรู Air Compressure,W01AC03,ปั๊มลมสกรู Air Compressure
W01AC04 - เครื่องทำลมแห้ง,W01AC04,เครื่องทำลมแห้ง
W01AI01 - Chiller,W01AI01,Chiller
W01AI02 - Chiller,W01AI02,Chiller
W01AI04 - เครื่องปรับอากาศ,W01AI04,เครื่องปรับอากาศ
W01AI05 - เครื่องปรับอากาศ,W01AI05,เครื่องปรับอากาศ
W01AI06 - เครื่องปรับอากาศ,W01AI06,เครื่องปรับอากาศ
W01AI07 - เครื่องปรับอากาศ,W01AI07,เครื่องปรับอากาศ
W01AI08 - ห้องเย็น,W01AI08,ห้องเย็น
W01AI09 - ห้องเย็น,W01AI09,ห้องเย็น
W01BC01 - สายพานผ่าท้องปลา,W01BC01,สายพานผ่าท้องปลา
W01BC02 - สายพานขูดปลา,W01BC02,สายพานขูดปลา
W01BC03 - สายพานชั่ง,W01BC03,สายพานชั่ง
W01BC04 - สายพานสามกลับ,W01BC04,สายพานสามกลับ
W01BC05 - สายพานรับซองเพ้าช์,W01BC05,สายพานรับซองเพ้าช์
W01BC06 - สายพานพากระป๋องเปล่า,W01BC06,สายพานพากระป๋องเปล่า
W01BC07 - สายพานตัดสแน็ค,W01BC07,สายพานตัดสแน็ค
W01BC08 - สายพาน ติดฉลาก,W01BC08,สายพาน ติดฉลาก
W01BC09 - สายพานลำเลียงกล่อง,W01BC09,สายพานลำเลียงกล่อง
W01BC10 - สายพาน pack กระป๋อง,W01BC10,สายพาน pack กระป๋อง
W01CA01 - รถโฟคลิฟน้ำมัน,W01CA01,รถโฟคลิฟน้ำมัน
W01CA02 - รถโฟคลิฟ,W01CA02,รถโฟคลิฟ
W01CA03 - รถโฟคลิฟน้ำมัน,W01CA03,รถโฟคลิฟน้ำมัน
W01CL01 - รางสเปร์ยคูลลิ่งปลา,W01CL01,รางสเปร์ยคูลลิ่งปลา
W01CT01 - เครื่องตัดปลา,W01CT01,เครื่องตัดปลา
W01CT02 - เครื่องตัดปลา,W01CT02,เครื่องตัดปลา
W01CT03 - เครื่องตัดปลา,W01CT03,เครื่องตัดปลา
W01CT04 - เครื่องตัดปลา,W01CT04,เครื่องตัดปลา
W01CT05 - เครื่องตัดปลา,W01CT05,เครื่องตัดปลา
W01CT06 - เครื่องตัดปลา,W01CT06,เครื่องตัดปลา
W01CT07 - เครื่องตัดสแน็ค,W01CT07,เครื่องตัดสแน็ค
W01CT08 - เครื่องตัดปลาชาดีน,W01CT08,เครื่องตัดปลาชาดีน
W01CW01 - COOLING WATER,W01CW01,COOLING WATER
W01CW02 - COOLING WATER,W01CW02,COOLING WATER
W01DI01 - เครื่องบด,W01DI01,เครื่องบด
W01DI02 - เครื่องบด,W01DI02,เครื่องบด
W01DI03 - เครื่องบด 3,W01DI03,เครื่องบด 3
W01DI04 - เครื่องบด,W01DI04,เครื่องบด
W01DP01 - Dumper,W01DP01,Dumper
W01DR01 - เครื่องเป่ากระป๋องแห้ง,W01DR01,เครื่องเป่ากระป๋องแห้ง
W01DR02 - ตู้อบสแน็ค,W01DR02,ตู้อบสแน็ค
W01DR03 - ตู้อบลมร้อน,W01DR03,ตู้อบลมร้อน
W01DR04 - ตู้อบลมร้อน,W01DR04,ตู้อบลมร้อน
W01DR05 - เครื่องเป่าซองPOUCH,W01DR05,เครื่องเป่าซองPOUCH
W01DR06 - HS R2,W01DR06,HS R2
W01DS01 - เครื่องจ่ายกระป๋องเปล่า,W01DS01,เครื่องจ่ายกระป๋องเปล่า
W01EX01 - Extruder,W01EX01,Extruder
W01FP01 - ปั๊มวัตถุดิบ,W01FP01,ปั๊มวัตถุดิบ
W01FP02 - ปั๊มวัตถุดิบ,W01FP02,ปั๊มวัตถุดิบ
W01FP03 - ปั๊มวัตถุดิบ,W01FP03,ปั๊มวัตถุดิบ
W01FP04 - ปั๊มวัตถุดิบ,W01FP04,ปั๊มวัตถุดิบ
W01IJ01 - เครื่องยิงโค้ด,W01IJ01,เครื่องยิงโค้ด
W01IJ02 - เครื่องยิงโค้ด,W01IJ02,เครื่องยิงโค้ด
W01IJ03 - เครื่องยิงโค้ด,W01IJ03,เครื่องยิงโค้ด
W01IJ04 - เครื่องพิมพ์ซองแมวเลีย,W01IJ04,เครื่องพิมพ์ซองแมวเลีย
W01IJ05 - เครื่องพิมพ์กล่อง,W01IJ05,เครื่องพิมพ์กล่อง
W01LB01 - เครื่องปิดฉลาก,W01LB01,เครื่องปิดฉลาก
W01MI01 - เครื่องตีเนื้อปลา,W01MI01,เครื่องตีเนื้อปลา
W01MI02 - เครื่องสับผสม,W01MI02,เครื่องสับผสม
W01MI03 - Hi-Mixer,W01MI03,Hi-Mixer
W01MI04 - Hi-Mixer,W01MI04,Hi-Mixer
W01MI05 - HIMIXER3,W01MI05,HIMIXER3
W01MI06 - Ribbon Mixer,W01MI06,Ribbon Mixer
W01MI07 - เครื่องปั่นผสมแป้ง,W01MI07,เครื่องปั่นผสมแป้ง
W01MI08 - เครื่องปั่นผสมแป้ง,W01MI08,เครื่องปั่นผสมแป้ง
W01MI09 - เครื่องปั่นผสมโฮโม,W01MI09,เครื่องปั่นผสมโฮโม
W01MI10 - Ribbon3,W01MI10,Ribbon3
W01MI11 - HIMIXER3,W01MI11,HIMIXER3
W01MI12 - Hi-Mixer,W01MI12,Hi-Mixer
W01MI13 - Hi-Mixer,W01MI13,Hi-Mixer
W01MI14 - Ribbon3,W01MI14,Ribbon3
W01MN01 - ตรวจจับโลหะแบบท่อ,W01MN01,ตรวจจับโลหะแบบท่อ
W01MN02 - ตรวจจับโลหะแบบท่อ,W01MN02,ตรวจจับโลหะแบบท่อ
W01MN03 - เครื่องตรวจจับโลหะแบบสายพาน,W01MN03,เครื่องตรวจจับโลหะแบบสายพาน
W01MN04 - เครื่องตรวจจับโลหะแบบสายพาน,W01MN04,เครื่องตรวจจับโลหะแบบสายพาน
W01MS01 - เครื่องนวดส่วนผสม,W01MS01,เครื่องนวดส่วนผสม
W01MS02 - เครื่องนวดส่วนผสม,W01MS02,เครื่องนวดส่วนผสม
W01MS03 - เครื่องนวดผสมแป้ง,W01MS03,เครื่องนวดผสมแป้ง
W01MS04 - เครื่องนวดผสมแป้ง,W01MS04,เครื่องนวดผสมแป้ง
W01MS05 - เครื่องนวดผสมแป้ง,W01MS05,เครื่องนวดผสมแป้ง
W01PK01 - Filling,W01PK01,Filling
W01PK02 - Filler,W01PK02,Filler
W01PK03 - จานหมุน,W01PK03,จานหมุน
W01PK04 - จานหมุน,W01PK04,จานหมุน
W01PK05 - เครื่องบรรจุซองเพ้าช์TYJ,W01PK05,เครื่องบรรจุซองเพ้าช์TYJ
W01PK06 - เครื่องบรรจุเพ้าช์ Dupex,W01PK06,เครื่องบรรจุเพ้าช์ Dupex
W01PK07 - บรรจุซองแมวเลีย,W01PK07,บรรจุซองแมวเลีย
W01PK08 - เครื่องปิดฝา,W01PK08,เครื่องปิดฝา
W01PK09 - Lifter Unit,W01PK09,Lifter Unit
W01PK10 - เช็คหัวชีม,W01PK10,เช็คหัวชีม
W01PK11 - เครื่องซีลถุง,W01PK11,เครื่องซีลถุง
W01PK12 - เครื่องชั่งปลามัลติเฮด,W01PK12,เครื่องชั่งปลามัลติเฮด
W01PK13 - เครื่องชั่งเช็คเวท,W01PK13,เครื่องชั่งเช็คเวท
W01PK14 - เครื่องซีลถุง,W01PK14,เครื่องซีลถุง
W01PK15 - เครื่องซีลถุง,W01PK15,เครื่องซีลถุง
W01PK16 - เครื่องซีลถุง,W01PK16,เครื่องซีลถุง
W01PK17 - บรรจุแมวเลียTTK,W01PK17,บรรจุแมวเลียTTK
W01PK18 - บรรจุแมวเลียTTK,W01PK18,บรรจุแมวเลียTTK
W01PK19 - บรรจุแมวเลียTTK,W01PK19,บรรจุแมวเลียTTK
W01PK20 - TP R2,W01PK20,TP R2
W01PK21 - HSS R2,W01PK21,HSS R2
W01PK22 - HSS R2,W01PK22,HSS R2
W01PK23 - บรรจุแมวเลียTTK,W01PK23,บรรจุแมวเลียTTK
W01PK24 - เครื่องซีลถุง,W01PK24,เครื่องซีลถุง
W01PK25 - เครื่องซีลถุง,W01PK25,เครื่องซีลถุง
W01PK26 - เครื่องซีลถุง,W01PK26,เครื่องซีลถุง
W01RO04 - ระบบน้ำ RO1,W01RO04,ระบบน้ำ RO1
W01SC01 - อาคาร,W01SC01,อาคาร
W01SR01 - เครื่องกวนร้อน,W01SR01,เครื่องกวนร้อน
W01SS01 - ท่อระบายน้ำและรางน้ำฝน,W01SS01,ท่อระบายน้ำและรางน้ำฝน
W01ST01 - ตู้นึ่งปลา,W01ST01,ตู้นึ่งปลา
W01ST02 - หม้อฆ่าเชื้อกระป๋อง,W01ST02,หม้อฆ่าเชื้อกระป๋อง
W01ST03 - หม้อฆ่าเชื้อเพ๊าท์,W01ST03,หม้อฆ่าเชื้อเพ๊าท์
W01ST04 - ตู้นึ่งไก่,W01ST04,ตู้นึ่งไก่
W01ST05 - หม้อฆ่าเชื้อกล่อง,W01ST05,หม้อฆ่าเชื้อกล่อง
W01TT01 - เครื่องเอียงตะกร้า,W01TT01,เครื่องเอียงตะกร้า
W01WP01 - ปั๊มน้ำCooling,W01WP01,ปั๊มน้ำCooling
W01WP02 - ปั๊มน้ำCooling,W01WP02,ปั๊มน้ำCooling
W01WP03 - ปั๊มน้ำCooling,W01WP03,ปั๊มน้ำCooling
W01WP04 - ปั๊มน้ำCooling,W01WP04,ปั๊มน้ำCooling
W01WP05 - ปั๊มน้ำCooling,W01WP05,ปั๊มน้ำCooling
W01WP06 - ปั๊มน้ำCooling,W01WP06,ปั๊มน้ำCooling
W01WP07 - ปั๊มน้ำCooling,W01WP07,ปั๊มน้ำCooling
W01WP08 - ปั๊มน้ำCooling,W01WP08,ปั๊มน้ำCooling
W01WP09 - ปั๊มน้ำCooling,W01WP09,ปั๊มน้ำCooling
W01WS01 - เครื่องล้างกระป๋อง,W01WS01,เครื่องล้างกระป๋อง
W01WT01 - ถังพักน้ำ,W01WT01,ถังพักน้ำ
W01WT02 - ถังพักน้ำ,W01WT02,ถังพักน้ำ
W01WT03 - ถังพักน้ำ,W01WT03,ถังพักน้ำ
W01WT04 - ถังพักน้ำ,W01WT04,ถังพักน้ำ
W01WT05 - ถังพักน้ำ,W01WT05,ถังพักน้ำ
W01WT06 - ถังพักน้ำ,W01WT06,ถังพักน้ำ
W02AI03 - เครื่องปรับอากาศ,W02AI03,เครื่องปรับอากาศ
W02AI10 - คอยเย็นแอร์,W02AI10,คอยเย็นแอร์
W02AI11 - คอยเย็นแอร์,W02AI11,คอยเย็นแอร์
W02AI12 - คอยเย็นแอร์,W02AI12,คอยเย็นแอร์
W02AI13 - คอยเย็นแอร์,W02AI13,คอยเย็นแอร์
W02AI14 - คอยเย็นแอร์,W02AI14,คอยเย็นแอร์
W02AI15 - คอยเย็นแอร์,W02AI15,คอยเย็นแอร์
W02AI16 - คอยเย็นแอร์,W02AI16,คอยเย็นแอร์
W02AI17 - คอยเย็นแอร์,W02AI17,คอยเย็นแอร์
W02AI18 - คอยเย็นแอร์,W02AI18,คอยเย็นแอร์
W02AI19 - คอยเย็นแอร์,W02AI19,คอยเย็นแอร์
W02AI20 - คอยเย็นแอร์,W02AI20,คอยเย็นแอร์
W02AI21 - เครื่องปรับอากาศ,W02AI21,เครื่องปรับอากาศ
W02IT01 - คอมพิวเตอร์,W02IT01,คอมพิวเตอร์
W02IT02 - คอมพิวเตอร์,W02IT02,คอมพิวเตอร์
W02IT03 - คอมพิวเตอร์,W02IT03,คอมพิวเตอร์
